award_id,application_id,sponsor,award_type,award_number,total_award_amount,direct_costs,indirect_costs,fcf_period_start,fcf_period_end,budget_periods,status,cfda_number,prime_recipient,subrecipient,lifecycle_stage
AW-001,APP-001,AHRQ,R01,1R01HS029754-01,1562500,1250000,312500,2024-09-01,2029-08-31,5,Active,93.226,CU Anschutz,,Post-award
AW-002,APP-002,NIH NIA,R21,1R21AG085234-01,343750,275000,68750,2024-09-01,2026-08-31,2,Active,93.866,CU Anschutz,,Post-award
AW-003,APP-003,NIH,K08,1K08AI178234-01,562500,450000,112500,2024-09-01,2029-08-31,5,Active,93.855,CU Anschutz,,Post-award
AW-004,APP-004,CDC,R21,CDC-R21-2024-001,250000,200000,50000,2024-09-01,2026-08-31,2,Active,93.283,CU Anschutz,,Post-award
AW-005,APP-005,Johns Hopkins,U01 Subcontract,JHU-U01-Sub-001,850000,850000,0,2024-08-01,2029-07-31,5,Active,93.279,JHU,CU Anschutz,Post-award
AW-006,APP-006,NIH NIA,K23,1K23AG082456-01,600000,480000,120000,2024-08-01,2029-07-31,5,Active,93.866,CU Anschutz,,Post-award
AW-007,APP-007,NIH NIA,R01,1R01AG078234-01,2625000,2100000,525000,2024-08-01,2029-07-31,5,Active,93.866,CU Anschutz,,Post-award
AW-008,APP-008,NIH NCI,R01,1R01CA284567-01,2312500,1850000,462500,2024-07-01,2029-06-30,5,Active,93.393,CU Anschutz,,Post-award
AW-009,APP-009,Alpha Omega Alpha,Fellowship,ACS-2024-089,75000,75000,0,2024-07-01,2027-06-30,3,Active,N/A,Alpha Omega Alpha,CU Anschutz,Post-award
AW-010,APP-010,NIH NIDDK,Diversity Supplement,NIH-NIDDK-Div-Supp-001,85000,85000,0,2024-07-01,2025-06-30,1,Active,93.849,CU Anschutz,,Post-award
AW-011,APP-011,NIH NIDDK,U01 Supplement,NIH-NIDDK-Div-Supp-002,92000,92000,0,2024-07-01,2025-06-30,1,Active,93.849,CU Anschutz,,Post-award
AW-012,APP-012,NHLBI,R33,1R33HL156789-01,562500,450000,112500,2024-05-01,2027-04-30,3,Active,93.837,CU Anschutz,,Post-award
AW-013,APP-013,PCORI,Foundation,PCORI-2024-CHEER-001,1200000,1200000,0,2024-05-01,2028-04-30,4,Active,N/A,PCORI,CU Anschutz,Post-award
AW-014,APP-014,American Academy of Pediatrics,Foundation,AAP-2024-ELP-001,85000,85000,0,2024-05-01,2026-04-30,2,Active,N/A,AAP,CU Anschutz,Post-award
AW-015,APP-015,NHLBI,R01,1R01HL167234-01,2437500,1950000,487500,2024-03-01,2029-02-28,5,Active,93.837,CU Anschutz,,Post-award
AW-016,APP-016,NHLBI,R01,1R01HL166789-01,2350000,1880000,470000,2024-03-01,2029-02-28,5,Active,93.837,CU Anschutz,,Post-award
AW-017,APP-017,NCI,R25,1R25CA284567-01,475000,380000,95000,2024-03-01,2029-02-28,5,Active,93.393,CU Anschutz,,Post-award
AW-018,APP-018,PCORI,Foundation,PCORI-2024-HF-001,2100000,2100000,0,2024-01-01,2028-12-31,5,Active,N/A,PCORI,CU Anschutz,Post-award
AW-019,APP-019,Ergen Family Foundation,Foundation,Ergen-2024-002,45000,45000,0,2024-01-01,2025-12-31,1,Active,N/A,Ergen Foundation,CU Anschutz,Post-award
AW-020,APP-020,CU Anschutz,Internal,AAI-2024-001,95000,95000,0,2024-01-01,2025-12-31,1,Active,N/A,CU Anschutz,,Post-award
AW-021,APP-022,PCORI,Supplement,PCORI-Supp-2024-001,150000,150000,0,2024-03-01,2025-02-28,1,Active,N/A,PCORI,CU Anschutz,Post-award
AW-022,APP-023,NCI,Supplement,NCI-Supp-2024-001,95000,95000,0,2024-07-01,2025-06-30,1,Active,93.393,CU Anschutz,,Post-award
AW-023,APP-024,NINDS,U3 Supplement,NINDS-U3-Supp-001,120000,120000,0,2024-03-01,2025-02-28,1,Active,93.853,CU Anschutz,,Post-award
AW-024,APP-025,NHLBI,R03,1R03HL168234-01,122500,98000,24500,2024-04-01,2026-03-31,2,Active,93.837,CU Anschutz,,Post-award
AW-025,,NCATS/NIH,UL1,CCTSI-UL1-2024,54000000,37800000,16200000,2024-07-01,2031-06-30,7,Active,93.847,CU Anschutz,,Post-award
AW-026,,ARPA-H,Cooperative Agreement,ARPA-H-Eye-2024,46000000,46000000,0,2024-10-01,2029-09-30,5,Active,N/A,ARPA-H,CU Anschutz,Post-award
