id,grant_id,budget_total,expended,cost_center,period_start,period_end,source_system,ingested_at
AF-001,AW-001,1562500,312500,ACCORDS-101,2024-09-01,2029-08-31,PeopleSoft,2024-09-15T00:00:00Z
AF-002,AW-002,343750,68750,ACCORDS-102,2024-09-01,2026-08-31,PeopleSoft,2024-09-15T00:00:00Z
AF-003,AW-003,562500,112500,ACCORDS-103,2024-09-01,2029-08-31,PeopleSoft,2024-09-15T00:00:00Z
AF-004,AW-004,250000,50000,ACCORDS-104,2024-09-01,2026-08-31,PeopleSoft,2024-09-15T00:00:00Z
AF-005,AW-005,850000,170000,ACCORDS-105,2024-08-01,2029-07-31,PeopleSoft,2024-08-15T00:00:00Z
AF-006,AW-006,600000,120000,ACCORDS-106,2024-08-01,2029-07-31,PeopleSoft,2024-08-15T00:00:00Z
AF-007,AW-007,2625000,525000,ACCORDS-107,2024-08-01,2029-07-31,PeopleSoft,2024-08-15T00:00:00Z
AF-008,AW-008,2312500,462500,ACCORDS-108,2024-07-01,2029-06-30,PeopleSoft,2024-07-15T00:00:00Z
AF-009,AW-009,75000,15000,ACCORDS-109,2024-07-01,2027-06-30,PeopleSoft,2024-07-15T00:00:00Z
AF-010,AW-010,85000,42500,ACCORDS-110,2024-07-01,2025-06-30,PeopleSoft,2024-07-15T00:00:00Z
AF-011,AW-011,92000,46000,ACCORDS-110,2024-07-01,2025-06-30,PeopleSoft,2024-07-15T00:00:00Z
AF-012,AW-012,562500,112500,ACCORDS-111,2024-05-01,2027-04-30,PeopleSoft,2024-05-15T00:00:00Z
AF-013,AW-013,1200000,240000,ACCORDS-112,2024-05-01,2028-04-30,PeopleSoft,2024-05-15T00:00:00Z
AF-014,AW-014,85000,17000,ACCORDS-113,2024-05-01,2026-04-30,PeopleSoft,2024-05-15T00:00:00Z
AF-015,AW-015,2437500,487500,ACCORDS-114,2024-03-01,2029-02-28,PeopleSoft,2024-03-15T00:00:00Z
AF-016,AW-016,2350000,470000,ACCORDS-114,2024-03-01,2029-02-28,PeopleSoft,2024-03-15T00:00:00Z
AF-017,AW-017,475000,95000,ACCORDS-115,2024-03-01,2029-02-28,PeopleSoft,2024-03-15T00:00:00Z
AF-018,AW-018,2100000,525000,ACCORDS-116,2024-01-01,2028-12-31,PeopleSoft,2024-01-15T00:00:00Z
AF-019,AW-019,45000,11250,ACCORDS-117,2024-01-01,2025-12-31,PeopleSoft,2024-01-15T00:00:00Z
AF-020,AW-020,95000,23750,ACCORDS-118,2024-01-01,2025-12-31,PeopleSoft,2024-01-15T00:00:00Z
AF-021,AW-021,150000,37500,ACCORDS-116,2024-03-01,2025-02-28,PeopleSoft,2024-03-15T00:00:00Z
AF-022,AW-022,95000,23750,ACCORDS-119,2024-07-01,2025-06-30,PeopleSoft,2024-07-15T00:00:00Z
AF-023,AW-023,120000,30000,ACCORDS-120,2024-03-01,2025-02-28,PeopleSoft,2024-03-15T00:00:00Z
AF-024,AW-024,122500,24500,ACCORDS-121,2024-04-01,2026-03-31,PeopleSoft,2024-04-15T00:00:00Z
AF-025,AW-025,54000000,7714286,CCTSI-001,2024-07-01,2031-06-30,PeopleSoft,2024-07-15T00:00:00Z
AF-026,AW-026,46000000,0,ARPA-H-001,2024-10-01,2029-09-30,PeopleSoft,2024-10-15T00:00:00Z
