application_id,pi_name,pi_department,opportunity_id,application_title,submission_date,status,award_amount_requested,award_amount_awarded,project_start_date,project_end_date,sponsor_award_id,notes,pi_researcher_id
APP-001,Monica Perez Jolles,ACCORDS,OPP-009,Using process mapping to optimize the integration of child psychosocial screenings in primary care,2024-03-15,Awarded,1250000,1250000,2024-09-01,2029-08-31,1R01HS029754-01,AHRQ R01 - whole-person care,RES-001
APP-002,Dan Matlock,ACCORDS,OPP-002,Helping Patients Families and Clinicians Make Shared Decisions about Therapies for Dementia,2024-03-20,Awarded,275000,275000,2024-09-01,2026-08-31,1R21AG085234-01,NIH NIA R21,RES-002
APP-003,Jill Cotter,ACCORDS,OPP-004,Implementing antibiotic stewardship to improve the care of children hospitalized with pneumonia,2024-03-10,Awarded,450000,450000,2024-09-01,2029-08-31,1K08AI178234-01,NIH K08 career development,RES-003
APP-004,Marisha Burden,ACCORDS,OPP-010,The Financial Impact of Burnout and Mental Health on Hospitalist Turnover,2024-03-25,Awarded,200000,200000,2024-09-01,2026-08-31,CDC-R21-2024-001,CDC R21,RES-004
APP-005,Nancy Donelan-McCall,ACCORDS,OPP-006,Collaborative to understand impacts of early preventive interventions on suicide and overdose mortality,2024-02-15,Awarded,850000,850000,2024-08-01,2029-07-31,JHU-U01-Sub-001,U01 Subcontract Johns Hopkins,RES-005
APP-006,Sarguni Singh,ACCORDS,OPP-005,Improving Person-Centered Outcomes for Older Adults with Cancer Discharged to Skilled Nursing Facilities,2024-02-28,Awarded,480000,480000,2024-08-01,2029-07-31,1K23AG082456-01,NIH NIA K23,RES-006
APP-007,Jennifer Stevens-Lapsley,ACCORDS,OPP-001,Implementation of Neuromuscular Electrical Stimulation after Total Knee Arthroplasty,2024-02-10,Awarded,2100000,2100000,2024-08-01,2029-07-31,1R01AG078234-01,NIH NIA R01,RES-007
APP-008,Sean O'Leary,ACCORDS,OPP-001,Partnering with primary care to address goals of equity value and sustainment for primary cancer prevention,2024-01-15,Awarded,1850000,1850000,2024-07-01,2029-06-30,1R01CA284567-01,NIH NCI R01,RES-008
APP-009,Sarah Tevis,ACCORDS,OPP-014,A Program to Support Breast Cancer Patients with the Sexual Health Side Effects of Treatment,2024-02-01,Awarded,75000,75000,2024-07-01,2027-06-30,ACS-2024-089,Alpha Omega Alpha Fellowship,RES-009
APP-010,Lily Cervantes,ACCORDS,OPP-019,NAVIGATE-Kidney: Increasing diversity in the research workforce,2024-01-20,Awarded,85000,85000,2024-07-01,2025-06-30,NIH-NIDDK-Div-Supp-001,NIH NIDDK Diversity Supplement,RES-010
APP-011,Lily Cervantes,ACCORDS,OPP-019,NAVIGATE-Kidney: Reducing Type 1 Error Rate by Modifying Methods,2024-02-01,Awarded,92000,92000,2024-07-01,2025-06-30,NIH-NIDDK-Div-Supp-002,2nd U01 supplement,RES-010
APP-012,Amy Huebschmann,ACCORDS,OPP-007,Reducing Childhood Obesity Using Ecological Momentary Intervention and Video Feedback at Family Meals,2024-01-10,Awarded,450000,450000,2024-05-01,2027-04-30,1R33HL156789-01,NHLBI R33 Transfer Award,RES-011
APP-013,Jerica Berge,ACCORDS,OPP-013,Characterizing Engagement and Equity in Research (CHEER): A Comparative Study of Engagement Methods,2024-02-15,Awarded,1200000,1200000,2024-05-01,2028-04-30,PCORI-2024-CHEER-001,PCORI Foundation,RES-012
APP-014,Gretchen Domek,ACCORDS,OPP-015,Early Language Promotion Through Public Libraries,2024-02-20,Awarded,85000,85000,2024-05-01,2026-04-30,AAP-2024-ELP-001,American Academy of Pediatrics,RES-013
APP-015,Bethany Kwan,ACCORDS,OPP-001,Examining How Psychosocial Stress Gets Under the Skin and Leads to Cardiovascular Disease Risk,2024-01-05,Awarded,1950000,1950000,2024-03-01,2029-02-28,1R01HL167234-01,NHLBI R01 Transfer,RES-014
APP-016,Bethany Kwan,ACCORDS,OPP-001,Examining Pathways Between Food Insecurity and Cardiometabolic Health in Diverse Children,2024-01-05,Awarded,1880000,1880000,2024-03-01,2029-02-28,1R01HL166789-01,NHLBI R01 Transfer,RES-014
